RED,246.16,52.14,2006,2010,Red Deer 
RES,265.11,74.69,1980,2009,Resolute Bay 
RIK,143.76,43.48,2003,2007,Rikubetsu 
ROT,245.87,51.07,2007,2007,Rothney 
RPB,273.80,66.50,1997,2002,Repulse Bay 
RVK,10.98,64.94,2000,2003,Rorvik 
SAH,234.77,71.98,1996,1997,Sachs Harbour 
SAS,253.60,52.80,2005,2007,Saskatoon 
SBA,166.78,-77.85,1991,2008,Scott Base 
SCO,338.03,70.48,1996,2006,Ittoqqortoormiit 
SER,288.87,-30.00,2003,2003,La Serena 
SFS,354.06,36.67,2005,2009,San Fernando 
SHU,199.54,55.35,2005,2009,Shumagin 
SIT,224.67,57.07,1980,2009,Sitka 
SJG,293.85,18.11,1983,2009,San Juan 
SKT,307.10,65.42,1996,2006,Maniitsoq 
SMI,248.05,60.02,1996,2010,Fort Smith 
SOD,26.63,67.37,1980,2008,Sodankyla 
SOR,22.22,70.54,1996,2003,Soroya 
SPA,0.00,-90.00,1996,2007,South Pole Station 
SPT,355.65,39.55,1997,2008,San Pablo Toledo 
STF,309.28,67.02,1996,2006,Kangerlussuaq 
STJ,307.32,47.60,1980,2008,St Johns 
SUA,26.25,45.32,1999,2008,Surlari 
SVS,294.90,76.02,1998,2006,Savissivik 
T15,275.66,46.24,2006,2006,Bay Mills 
T16,240.20,39.19,2005,2010,Carson City 
T18,259.32,46.09,2006,2009,Fort Yates 
T19,245.33,47.61,2006,2010,Hot Springs 
T20,281.62,40.18,2006,2010,Loysburg 
T21,257.41,43.08,2005,2010,Pine Ridge 
T22,226.84,56.83,2006,2010,Petersburg 
T23,274.86,43.66,2006,2010,Remus 
T24,271.40,44.78,2006,2010,Shawano 
T25,241.07,45.14,2005,2010,Ukiah 
T28,299.50,53.30,2008,2009,Goose Bay 
T29,291.80,58.30,2008,2010,Kuujjuaq 
T30,285.60,49.80,2007,2009,Chibougamau 
T32,277.70,49.40,2006,2010,Kapuskasing 
T33,259.10,54.00,2006,2009,Flin Flon The Pas 
T34,249.30,64.70,2006,2007,Ekati 
T35,249.10,63.60,2009,2009,Snap Lake 
T36,246.69,54.71,2008,2010,Athabasca 
T37,237.20,53.80,2007,2010,Prince George 
T38,224.80,61.00,2007,2010,White Horse 
T39,209.80,62.30,2007,2010,Trapper Creek 
T40,204.40,63.00,2006,2010,McGrath 
T41,199.60,67.00,2007,2010,Kiana 
T42,254.70,55.20,2009,2009,La Ronge 
T43,245.70,50.90,2008,2010,Priddis 
TAL,266.45,69.54,1996,2002,Taloyoak 
TAM,5.53,22.79,1993,2009,Tamanrasset 
TAN,47.55,-18.92,1994,2005,Antananarivo 
TAR,26.46,58.26,2002,2003,Tartu 
TEO,260.82,19.75,2003,2008,Teoloyucan 
THL,290.77,77.47,1980,2009,Qaanag 
THY,17.54,46.90,1991,2009,Tihany 
TIK,129.00,71.58,1991,2007,Tixie 
TND,124.95,1.29,2001,2006,Tondano 
TRO,18.94,69.66,1988,2008,Tromso 
TRP,150.24,62.67,2006,2008,Trapper 
TRW,294.68,-43.25,1995,2009,Trelew 
TSU,17.70,-19.22,1992,2008,Tsumeb 
TUC,249.27,32.17,1983,2009,Tucson 
UMQ,307.87,70.68,1996,2006,Uummannaq 
UPN,303.85,72.78,1996,2006,Upernavik 
UPS,17.35,59.90,1998,2009,Uppsala 
VAL,349.75,51.93,1991,2009,Valentia 
VIC,236.58,48.52,1980,2009,Victoria 
VIZ,76.98,79.48,1999,2001,Vieze Island 
VLD,286.86,-39.48,2003,2003,Valdivia 
VOS,106.87,-78.45,1992,1998,Vostok 
VSS,316.35,-22.40,1999,2008,Vassouras 
WEP,141.88,-12.68,2003,2003,Weipa 
WEW,143.62,-3.55,2003,2004,Wewak 
WNG,9.07,53.75,1981,2008,Wingst 
YAP,138.50,9.30,1999,1999,Yap 
YKC,245.52,62.48,1983,2009,Yellowknife 
YOR,358.95,53.95,2000,2002,York 
ZYK,150.78,65.75,1996,2007,Zyryanka 
